pais_codigo	latitud_grilla	longitud_grilla	zona_espacial	cantidad_focos	frp_promedio_mw
URY	-34.4	-55.2	URY_LAT_-34.4_LON_-55.2	217	8.65
URY	-34.8	-54.9	URY_LAT_-34.8_LON_-54.9	130	7.98
URY	-33.2	-54.4	URY_LAT_-33.2_LON_-54.4	123	7.30
URY	-32.4	-54.2	URY_LAT_-32.4_LON_-54.2	116	8.99
URY	-34.7	-56.2	URY_LAT_-34.7_LON_-56.2	113	11.31
URY	-34.7	-56.0	URY_LAT_-34.7_LON_-56.0	111	12.30
URY	-32.4	-57.5	URY_LAT_-32.4_LON_-57.5	101	48.71
URY	-34.1	-56.2	URY_LAT_-34.1_LON_-56.2	100	7.39
URY	-34.3	-56.7	URY_LAT_-34.3_LON_-56.7	91	9.26
URY	-30.3	-57.6	URY_LAT_-30.3_LON_-57.6	89	18.16
URY	-34.5	-54.3	URY_LAT_-34.5_LON_-54.3	76	6.76
URY	-32.4	-57.4	URY_LAT_-32.4_LON_-57.4	74	64.43
URY	-34.5	-56.3	URY_LAT_-34.5_LON_-56.3	70	6.90
URY	-34.7	-56.4	URY_LAT_-34.7_LON_-56.4	60	24.01
URY	-34.3	-54.3	URY_LAT_-34.3_LON_-54.3	59	41.85
URY	-30.4	-57.7	URY_LAT_-30.4_LON_-57.7	58	14.27
URY	-32.9	-58.0	URY_LAT_-32.9_LON_-58.0	57	197.10
URY	-33.9	-53.7	URY_LAT_-33.9_LON_-53.7	56	41.47
URY	-31.7	-56.0	URY_LAT_-31.7_LON_-56.0	53	10.05
URY	-33.4	-56.5	URY_LAT_-33.4_LON_-56.5	45	8.11
